person_id,title,firm,Calculated Duration
1102,Senior Azure Cloud Database Administrator Senior Database Administrator/Data Analyst Product Manager Support Analyst,Ziosk Digital Matrix Systems GetRV.com Allegro Development,20
1103,CREATIVE DIRECTOR CREATIVE DIRECTOR DATABASE ADMINISTRATOR DATABASE ADMINISTRATOR,CHRIST TABERNACLE DESTINY CHURCH ALLIANCE COAL LLC DELOITTE CONSULTING,0
1104,SQL Database Administrator,Living Sans Frontieres,4
1105,Oracle Database Administrator Lead Oracle DBA Golden Gate Support Analyst Database Administrator,BlueCross BlueShield of South Carolina Fidelity Investments Oracle Oracle,18
1106,Database / Report Developer Remote Database Administrator Remote Database Administrator / Adapter Team Lead / Senior Systems Analysist Database Administrator Data Certification Officer IT Administrator / SQL Server & .NET Programmer SQL Server & .NET Programmer Accounts / IT Manager Senior Technician / Office Manager,Evanhoe & Associates Advanced Systems Design Civil Air Patrol National Headquarters Alabama Community College System Hyundai Glovis of Alabama Kreatek Inc Bedzzz Express CompEasy Inc Computer Barn,26
1107,Oracle Database Administrator Principal Database Administrator Principal Database Administrator Sr. Oracle Apps DBA,Conduent ORACLE USA Inc ORACLE USA Inc Global Payments Inc,0
1108,Oracle DBA Oracle Database Administrator Oracle Database Administrator Computer Operator,Environmental Protection Agency (EPA) Department of Transportation Library of Congress Bureau of Engraving and Printing,0
1109,Application Servers Manager Database and Application Servers Administrator Database and Application Servers Administrator Database and Application Servers Administrator Database and Operating Systems Administrator,SEGUROS CARACAS (LIBERTY MUTUAL GROUP) SEGUROS CARACAS (LIBERTY MUTUAL GROUP) JOBS SERVICE SOFT BOLIVAR Infrastructure Ministry,14
1110,SQE DevOps Engineer System / Database Administrator System Administrator,Nearshore Technology Puebla Iberoamerican University Mexico Cotemar S.A de C.V,17
1111,Manager / Business Analyst Software Developer / Database Administrator Software Developer Software Developer / Database Administrator Software Developer / Database Administrator / Instructor / Systems Administrator Oracle Database Operator/Reporting Administrator Database Administrator/Business Analyst Helpdesk Technician Police Officer/System Administrator Personnel Administration Noncommissioned Officer,"CGI Computer Sciences Corp United States Army ManTech International EWA SERVICES ppoONE, Inc. Amerimax Building Products Source Services Corporation City of Russellville United States Army",38
